epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5254,0.8813,1.58261,1.20321,0.39128,0.45522,0.3941,0.27466,1.32861,1.90053,1.93397,0.000471882,0.000471882,0.000471882
2,100.973,0.85785,1.08795,1.16611,0.26737,0.23495,0.23099,0.1832,1.42042,1.96458,1.74124,0.000932569,0.000932569,0.000932569
3,148.442,0.90803,1.13248,1.20218,0.38917,0.34735,0.3432,0.24535,1.44048,1.86348,1.95201,0.00137754,0.00137754,0.00137754
4,193.327,0.87699,1.09445,1.18129,0.30464,0.45745,0.36865,0.2436,1.34103,2.13453,1.76562,0.00135826,0.00135826,0.00135826
5,241.96,0.82322,1.00105,1.14523,0.41239,0.50044,0.41417,0.32656,1.16144,1.61051,1.59354,0.00133469,0.00133469,0.00133469
6,288.915,0.83661,1.045,1.16911,0.45612,0.56746,0.4696,0.37314,1.11264,1.45785,1.61465,0.00131111,0.00131111,0.00131111
7,333.986,0.80774,0.98548,1.14515,0.52255,0.48791,0.54304,0.38958,1.1233,1.42661,1.48352,0.00128753,0.00128753,0.00128753
8,381.029,0.78689,0.94413,1.13064,0.47742,0.56624,0.49082,0.36089,1.1544,1.27237,1.54927,0.00126395,0.00126395,0.00126395
9,427.07,0.78909,0.97202,1.13827,0.4684,0.56697,0.46035,0.36442,1.04625,1.32548,1.49223,0.00124037,0.00124037,0.00124037
10,474.461,0.75316,0.91276,1.11122,0.49623,0.65968,0.53102,0.40388,1.10821,1.19379,1.50159,0.00121679,0.00121679,0.00121679
11,521.95,0.73152,0.87679,1.10065,0.44782,0.56074,0.49787,0.39751,1.02156,1.24566,1.44276,0.00119322,0.00119322,0.00119322
12,571.005,0.72212,0.85757,1.09013,0.50926,0.52225,0.48902,0.37771,1.07713,1.35163,1.48253,0.00116964,0.00116964,0.00116964
13,615.984,0.70992,0.86832,1.08727,0.5727,0.56619,0.54351,0.41579,1.03489,1.21372,1.42823,0.00114606,0.00114606,0.00114606
14,664.549,0.71511,0.86454,1.08761,0.52062,0.61126,0.5669,0.44431,1.00614,1.13286,1.43901,0.00112248,0.00112248,0.00112248
15,708.654,0.67571,0.81631,1.06469,0.53695,0.64134,0.58467,0.44253,1.0098,1.09749,1.40813,0.0010989,0.0010989,0.0010989
16,756.361,0.69205,0.84172,1.0768,0.55802,0.57758,0.51937,0.4166,0.95976,1.18426,1.42501,0.00107532,0.00107532,0.00107532
17,803.141,0.69302,0.83864,1.07574,0.54621,0.60083,0.56357,0.43913,0.99143,1.13972,1.42599,0.00105174,0.00105174,0.00105174
18,849.603,0.68084,0.80378,1.07429,0.62663,0.5829,0.5867,0.44161,1.02236,1.097,1.44224,0.00102817,0.00102817,0.00102817
19,895.561,0.66086,0.76289,1.05432,0.58631,0.55667,0.54856,0.42437,0.98015,1.08261,1.43533,0.00100459,0.00100459,0.00100459
20,944.407,0.66689,0.78663,1.0599,0.67777,0.5864,0.5902,0.45558,0.97433,1.02991,1.40843,0.000981008,0.000981008,0.000981008
21,990.37,0.62614,0.72083,1.03175,0.47226,0.58641,0.52509,0.41613,0.94741,1.11109,1.3663,0.00095743,0.00095743,0.00095743
22,1040.61,0.64439,0.76699,1.05036,0.51774,0.55565,0.54115,0.44202,0.95979,1.04447,1.42093,0.000933851,0.000933851,0.000933851
23,1087.42,0.63542,0.74254,1.04488,0.4851,0.58887,0.53106,0.42037,0.91582,1.0653,1.35647,0.000910273,0.000910273,0.000910273
24,1134.66,0.63623,0.74925,1.04768,0.46559,0.63715,0.52222,0.41568,0.91613,1.04581,1.328,0.000886694,0.000886694,0.000886694
25,1180.59,0.62274,0.7248,1.04187,0.46169,0.71274,0.55628,0.43994,0.93399,1.09062,1.37407,0.000863116,0.000863116,0.000863116
26,1227.02,0.62036,0.71783,1.04145,0.52269,0.61667,0.56166,0.43773,0.9293,1.1606,1.36425,0.000839537,0.000839537,0.000839537
